"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"1";"Abditomys_latidens";0,00832950000232275;2,07404550057836;2,08237500058069;1747;2686;2961;3,36290049574087;3,46524281486959;5,30006766576554e-08;7,51077074741301e-08;2,082375;76,4577517321214;"Rodentia";"Muridae";"Abditomys";"latidens";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";269;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"DD";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";46561,8424332152;"Abditomys latidens"
"2";"Abeomelomys_sevia";0,0002080145000006;4,160081985512;4,160290000012;2891;1276;1464;5,0198015304268;6,06962637519367;1,77467086295369e-07;2,53192532456591e-07;3,9746;76,4433237334934;"Rodentia";"Muridae";"Abeomelomys";"sevia";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";52;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on large land bridge islands";"LC";"No";78;3;19;"Imputed 000 Species";"PHYLACINE 1.2";93123,6848664304;"Abeomelomys sevia"
"3";"Abrawayaomys_ruschii";0,000284722771950524;5,69417071623852;5,69445543901047;2593;852;980;7,36707401746514;8,2875128342858;3,92130520650736e-07;5,60743757035852e-07;5,69437;76,5896032670211;"Rodentia";"Cricetidae";"Abrawayaomys";"ruschii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";63;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";88;1;11;"Imputed 000 Species";"PHYLACINE 1.2";186247,369732861;"Abrawayaomys ruschii"
"4";"Abrocoma_bennettii";0,000726592229400488;14,5311179957804;14,5318445880098;2069;129;149;15,1448031439498;17,5373498086548;2,59100001115004e-05;3,5709105588957e-05;11,85064;86,9821886305951;"Rodentia";"Abrocomidae";"Abrocoma";"bennettii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";250;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";260746,317626005;"Abrocoma bennettii"
"5";"Abrocoma_boliviensis";12,4546076480314;0,385194050970045;12,8398016990015;20;5075;208;15,5908769772831;17,2887204336548;2,60190527516271e-05;3,58480069864162e-05;12,373175;86,9819661567484;"Rodentia";"Abrocomidae";"Abrocoma";"boliviensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";158;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"CR";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";9312,36848664304;"Abrocoma boliviensis"
"6";"Abrocoma_budini";0,239439466854985;4,54934987024472;4,7887893370997;954;1151;1229;9,18414540585457;8,70522055324554;1,10208188345075e-05;1,51379897252882e-05;4,169235;86,9767739555822;"Rodentia";"Abrocomidae";"Abrocoma";"budini";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";360,7;"Assumed isometric based on head-body length";"Journal of Mammalogy 83: 1-19 (2002)";"Abrocoma_cinerea";"Journal of Mammalogy 83: 1-19 (2002)";"Occurs on mainland";"DD";"No";100;0;0;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";18624,7369732861;"Abrocoma budini"
"7";"Abrocoma_cinerea";0,000224839154225136;4,4965582453485;4,49678308450273;2814;1166;1335;8,7727644891879;8,1451772959137;9,63859844412333e-06;1,34538790069722e-05;3,795825;86,9766985782884;"Rodentia";"Abrocomidae";"Abrocoma";"cinerea";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";250;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";763614,215904729;"Abrocoma cinerea"
"8";"Abrocoma_famatina";0,234900486576842;4,46310924496001;4,69800973153685;964;1180;1260;9,27587773323552;8,25866730787277;1,04925018113764e-05;1,46045237480142e-05;3,88975;86,9771345866918;"Rodentia";"Abrocomidae";"Abrocoma";"famatina";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";233,4;"Assumed isometric based on head-body length";"Journal of Mammalogy 83: 1-19 (2002)";"Abrocoma_cinerea";"Journal of Mammalogy 83: 1-19 (2002)";"Occurs on mainland";"DD";"No";100;0;0;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";37249,4739465721;"Abrocoma famatina"
"9";"Abrocoma_shistacea";0,000206943476299532;4,13866258251433;4,13886952599063;2903;1289;1479;8,49738560823552;7,19053970862389;9,24444215912103e-06;1,28518210391905e-05;3,296405;86,9767964174241;"Rodentia";"Abrocomidae";"Abrocoma";"shistacea";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";276,3;"Assumed isometric based on head-body length";"Journal of Mammalogy 83: 1-19 (2002)";"Abrocoma_cinerea";"Journal of Mammalogy 83: 1-19 (2002)";"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.";37249,4739465721;"Abrocoma shistacea"
"10";"Abrocoma_uspallata";3,0209887035327;4,17184154297373;7,19283024650643;169;1270;693;10,7768027272831;11,3637147719955;1,50081064176499e-05;2,07467391923481e-05;5,819085;86,9788721008403;"Rodentia";"Abrocomidae";"Abrocoma";"uspallata";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";245,8;"Assumed isometric based on head-body length";"Journal of Mammalogy 83: 1-19 (2002)";"Abrocoma_cinerea";"Journal of Mammalogy 83: 1-19 (2002)";"Occurs on mainland";"DD";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";9312,36848664304;"Abrocoma uspallata"
